"ANO_MES","UF","Municipio_N","Diagnostico_N","QUANTIDADE"
"2012/03",1,"Cabixi","Abscesso",3
"2012/03",1,"Rolim de Moura","Abscesso",267
"2013/03",1,"Espigão d'Oeste","Abscesso",41
"2014/03",1,"Espigão d'Oeste","Abscesso",301
"2015/03",1,"Chupinguaia","Abscesso",2
"2016/03",1,"Nova Mamoré","Abscesso",1
"2016/03",1,"Pimenta Bueno","Abscesso",57
"2016/03",1,"Porto Velho","Abscesso",2
"2017/03",1,"Ministro Andreazza","Abscesso",127
"2017/03",1,"Rolim de Moura","Abscesso",22
"2018/03",1,"Buritis","Abscesso",5
"2018/03",1,"Ministro Andreazza","Abscesso",12
"2018/03",1,"Monte Negro","Abscesso",2
"2019/03",1,"Campo Novo de Rondônia","Abscesso",3
"2019/03",1,"Pimenteiras do Oeste","Abscesso",5
"2007/04",1,"Presidente Médici","Abscesso",2
"2008/04",1,"Rolim de Moura","Abscesso",51
"2009/04",1,"Vilhena","Abscesso",2
"2010/04",1,"São Felipe d'Oeste","Abscesso",110
"2010/04",1,"Vale do Paraíso","Abscesso",3
"2012/04",1,"Presidente Médici","Abscesso",1
"2013/04",1,"Espigão d'Oeste","Abscesso",230
"2014/04",1,"Rolim de Moura","Abscesso",97
"2015/04",1,"São Felipe d'Oeste","Abscesso",1
"2017/04",1,"Cacoal","Abscesso",392
"2017/04",1,"Campo Novo de Rondônia","Abscesso",1
"2017/04",1,"Monte Negro","Abscesso",1
"2018/04",1,"Espigão d'Oeste","Abscesso",47
"2019/04",1,"Buritis","Abscesso",5
"2019/04",1,"Cacoal","Abscesso",1049
"2019/04",1,"Colorado do Oeste","Abscesso",5
"2019/04",1,"Ministro Andreazza","Abscesso",1
"2019/04",1,"Rolim de Moura","Abscesso",688
"2006/05",1,"Rolim de Moura","Abscesso",9
"2007/05",1,"Rolim de Moura","Abscesso",56
"2008/05",1,"Rolim de Moura","Abscesso",214
"2009/05",1,"Pimenta Bueno","Abscesso",580
"2010/05",1,"Mirante da Serra","Abscesso",1
"2012/05",1,"Alto Alegre dos Parecis","Abscesso",1
"2012/05",1,"Rolim de Moura","Abscesso",192
"2013/05",1,"Nova União","Abscesso",1
"2013/05",1,"Porto Velho","Abscesso",2
"2014/05",1,"Cabixi","Abscesso",1
"2014/05",1,"Chupinguaia","Abscesso",1
"2015/05",1,"Buritis","Abscesso",1
"2015/05",1,"Pimenta Bueno","Abscesso",55
"2015/05",1,"São Francisco do Guaporé","Abscesso",1
"2016/05",1,"Pimenta Bueno","Abscesso",1
"2016/05",1,"Porto Velho","Abscesso",3
"2017/05",1,"Espigão d'Oeste","Abscesso",100
"2018/05",1,"Nova Mamoré","Abscesso",1
"2018/05",1,"Pimenteiras do Oeste","Abscesso",7
"2019/05",1,"Colorado do Oeste","Abscesso",5
"2019/05",1,"Pimenta Bueno","Abscesso",855
"2008/06",1,"Pimenta Bueno","Abscesso",389
"2009/06",1,"Chupinguaia","Abscesso",4
"2009/06",1,"Theobroma","Abscesso",1
"2009/06",1,"Vilhena","Abscesso",1
"2010/06",1,"Castanheiras","Abscesso",1
"2010/06",1,"Cerejeiras","Abscesso",3
"2010/06",1,"Rolim de Moura","Abscesso",1040
"2011/06",1,"Corumbiara","Abscesso",4
"2011/06",1,"Espigão d'Oeste","Abscesso",876
"2012/06",1,"Colorado do Oeste","Abscesso",2
"2012/06",1,"Rolim de Moura","Abscesso",388
"2012/06",1,"Vilhena","Abscesso",1
"2013/06",1,"Cacoal","Abscesso",73
"2013/06",1,"Colorado do Oeste","Abscesso",2
"2014/06",1,"Chupinguaia","Abscesso",1
"2014/06",1,"Colorado do Oeste","Abscesso",2
"2016/06",1,"Pimenta Bueno","Abscesso",57
"2017/06",1,"Presidente Médici","Abscesso",1
"2018/06",1,"Espigão d'Oeste","Abscesso",154
"2018/06",1,"São Felipe d'Oeste","Abscesso",1
"2019/06",1,"Ariquemes","Abscesso",1
"2019/06",1,"Ouro Preto do Oeste","Abscesso",1
"2006/07",1,"Cacoal","Abscesso",75
"2006/07",1,"Rolim de Moura","Abscesso",7
"2007/07",1,"Pimenta Bueno","Abscesso",5
"2009/07",1,"Pimenta Bueno","Abscesso",539
"2010/07",1,"Colorado do Oeste","Abscesso",6
"2010/07",1,"Pimenta Bueno","Abscesso",343
"2011/07",1,"Ariquemes","Abscesso",7
"2012/07",1,"Alto Alegre dos Parecis","Abscesso",1
"2012/07",1,"Chupinguaia","Abscesso",3
"2013/07",1,"Cabixi","Abscesso",2
"2013/07",1,"Porto Velho","Abscesso",3
