"ANO_MES","UF","Municipio_N","Diagnostico_N","QUANTIDADE"
"2018/05",1,"Ji-Paraná","Adenite",1
"2019/05",1,"Campo Novo de Rondônia","Adenite",17
"2019/05",1,"São Francisco do Guaporé","Adenite",9
"2019/05",1,"Teixeirópolis","Adenite",1
"2008/06",1,"Monte Negro","Adenite",1
"2008/06",1,"Pimenta Bueno","Adenite",1
"2009/06",1,"Pimenta Bueno","Adenite",3
"2009/06",1,"Pimenteiras do Oeste","Adenite",3
"2010/06",1,"Costa Marques","Adenite",2
"2011/06",1,"Corumbiara","Adenite",13
"2011/06",1,"Ministro Andreazza","Adenite",1
"2012/06",1,"Alto Alegre dos Parecis","Adenite",4
"2012/06",1,"Cabixi","Adenite",9
"2012/06",1,"Chupinguaia","Adenite",40
"2012/06",1,"Parecis","Adenite",1
"2013/06",1,"Espigão d'Oeste","Adenite",1
"2014/06",1,"Ariquemes","Adenite",1
"2014/06",1,"Corumbiara","Adenite",3
"2015/06",1,"Alto Paraíso","Adenite",2
"2015/06",1,"Cerejeiras","Adenite",1
"2015/06",1,"Ji-Paraná","Adenite",1
"2015/06",1,"Ouro Preto do Oeste","Adenite",2
"2016/06",1,"Rio Crespo","Adenite",1
"2017/06",1,"Buritis","Adenite",5
"2018/06",1,"Cacaulândia","Adenite",1
"2018/06",1,"Costa Marques","Adenite",3
"2018/06",1,"Nova Mamoré","Adenite",1
"2019/06",1,"Pimenteiras do Oeste","Adenite",5
"2007/07",1,"Cacoal","Adenite",1
"2008/07",1,"Alta Floresta d'Oeste","Adenite",3
"2008/07",1,"Cacoal","Adenite",2
"2008/07",1,"Ministro Andreazza","Adenite",1
"2008/07",1,"Vilhena","Adenite",3
"2009/07",1,"Cabixi","Adenite",3
"2009/07",1,"Ministro Andreazza","Adenite",1
"2009/07",1,"Pimenteiras do Oeste","Adenite",4
"2009/07",1,"Presidente Médici","Adenite",1
"2009/07",1,"São Francisco do Guaporé","Adenite",1
"2009/07",1,"Vilhena","Adenite",4
"2010/07",1,"Chupinguaia","Adenite",9
"2010/07",1,"Ouro Preto do Oeste","Adenite",3
"2010/07",1,"Pimenteiras do Oeste","Adenite",2
"2010/07",1,"São Francisco do Guaporé","Adenite",1
"2011/07",1,"Colorado do Oeste","Adenite",7
"2011/07",1,"Nova União","Adenite",1
"2012/07",1,"Novo Horizonte do Oeste","Adenite",4
"2012/07",1,"Pimenteiras do Oeste","Adenite",6
"2013/07",1,"Corumbiara","Adenite",18
"2013/07",1,"Porto Velho","Adenite",1
"2013/07",1,"Theobroma","Adenite",2
"2014/07",1,"Cerejeiras","Adenite",2
"2014/07",1,"Ji-Paraná","Adenite",1
"2015/07",1,"Cabixi","Adenite",3
"2015/07",1,"Corumbiara","Adenite",26
"2015/07",1,"Pimenta Bueno","Adenite",7
"2015/07",1,"Pimenteiras do Oeste","Adenite",7
"2016/07",1,"Buritis","Adenite",6
"2016/07",1,"Campo Novo de Rondônia","Adenite",2
"2016/07",1,"Cujubim","Adenite",1
"2016/07",1,"Vilhena","Adenite",1
"2017/07",1,"Corumbiara","Adenite",16
"2018/07",1,"Alto Alegre dos Parecis","Adenite",7
"2018/07",1,"Campo Novo de Rondônia","Adenite",2
"2018/07",1,"Monte Negro","Adenite",1
"2018/07",1,"Pimenta Bueno","Adenite",1
"2018/07",1,"Presidente Médici","Adenite",2
"2019/07",1,"Cacoal","Adenite",3
"2019/07",1,"Cujubim","Adenite",2
"2019/07",1,"Ministro Andreazza","Adenite",1
"2008/08",1,"Vilhena","Adenite",2
"2009/08",1,"Cerejeiras","Adenite",1
"2009/08",1,"Vilhena","Adenite",4
"2010/08",1,"Alta Floresta d'Oeste","Adenite",5
"2010/08",1,"Alto Alegre dos Parecis","Adenite",3
"2010/08",1,"Chupinguaia","Adenite",4
"2010/08",1,"Mirante da Serra","Adenite",1
"2010/08",1,"Novo Horizonte do Oeste","Adenite",2
"2011/08",1,"Pimenta Bueno","Adenite",1
"2011/08",1,"Vilhena","Adenite",6
"2013/08",1,"Ariquemes","Adenite",2
"2014/08",1,"Santa Luzia d'Oeste","Adenite",5
"2015/08",1,"Alta Floresta d'Oeste","Adenite",3
"2015/08",1,"Alto Alegre dos Parecis","Adenite",1
"2015/08",1,"Campo Novo de Rondônia","Adenite",1
"2016/08",1,"Alta Floresta d'Oeste","Adenite",4
"2016/08",1,"Jaru","Adenite",2
"2017/08",1,"Campo Novo de Rondônia","Adenite",3
"2017/08",1,"Candeias do Jamari","Adenite",4
"2017/08",1,"Colorado do Oeste","Adenite",28
"2017/08",1,"Nova Mamoré","Adenite",6
"2017/08",1,"Vilhena","Adenite",20
"2018/08",1,"Campo Novo de Rondônia","Adenite",2
"2018/08",1,"Corumbiara","Adenite",26
"2018/08",1,"Mirante da Serra","Adenite",1
"2018/08",1,"Pimenteiras do Oeste","Adenite",61
"2019/08",1,"Pimenteiras do Oeste","Adenite",18
"2019/08",1,"Primavera de Rondônia","Adenite",1
"2005/09",1,"Pimenteiras do Oeste","Adenite",1
"2008/09",1,"Cabixi","Adenite",1
"2008/09",1,"Chupinguaia","Adenite",2
"2008/09",1,"Monte Negro","Adenite",1
"2009/09",1,"Alta Floresta d'Oeste","Adenite",1
"2010/09",1,"Alta Floresta d'Oeste","Adenite",11
"2010/09",1,"Cacoal","Adenite",2
"2010/09",1,"Nova Mamoré","Adenite",1
"2011/09",1,"Ariquemes","Adenite",11
"2012/09",1,"Chupinguaia","Adenite",30
"2013/09",1,"Cabixi","Adenite",3
"2013/09",1,"Cerejeiras","Adenite",3
"2013/09",1,"Colorado do Oeste","Adenite",9
"2013/09",1,"Nova Mamoré","Adenite",1
"2014/09",1,"Chupinguaia","Adenite",2
"2014/09",1,"Colorado do Oeste","Adenite",3
"2014/09",1,"Presidente Médici","Adenite",1
"2015/09",1,"Santa Luzia d'Oeste","Adenite",1
"2016/09",1,"Cacoal","Adenite",1
"2016/09",1,"Governador Jorge Teixeira","Adenite",6
"2016/09",1,"Jaru","Adenite",2
"2016/09",1,"Pimenta Bueno","Adenite",3
"2016/09",1,"Pimenteiras do Oeste","Adenite",4
"2017/09",1,"Cabixi","Adenite",7
"2017/09",1,"Candeias do Jamari","Adenite",1
"2018/09",1,"Campo Novo de Rondônia","Adenite",3
"2019/09",1,"Alta Floresta d'Oeste","Adenite",3
"2019/09",1,"Parecis","Adenite",1
"2007/10",1,"Nova Mamoré","Adenite",1
"2008/10",1,"Chupinguaia","Adenite",18
"2008/10",1,"Rolim de Moura","Adenite",1
"2008/10",1,"São Francisco do Guaporé","Adenite",1
"2009/10",1,"Chupinguaia","Adenite",34
"2009/10",1,"Vale do Paraíso","Adenite",4
"2010/10",1,"Cabixi","Adenite",2
"2010/10",1,"Nova Mamoré","Adenite",1
"2010/10",1,"Parecis","Adenite",1
"2011/10",1,"Alta Floresta d'Oeste","Adenite",2
"2011/10",1,"Pimenteiras do Oeste","Adenite",2
"2011/10",1,"Primavera de Rondônia","Adenite",1
"2013/10",1,"Cerejeiras","Adenite",2
"2013/10",1,"Chupinguaia","Adenite",119
"2013/10",1,"Pimenteiras do Oeste","Adenite",3
"2014/10",1,"Cerejeiras","Adenite",4
"2016/10",1,"Nova Mamoré","Adenite",2
"2016/10",1,"Santa Luzia d'Oeste","Adenite",9
"2017/10",1,"Buritis","Adenite",7
"2017/10",1,"Candeias do Jamari","Adenite",1
"2017/10",1,"Cerejeiras","Adenite",25
"2018/10",1,"Buritis","Adenite",7
"2018/10",1,"Corumbiara","Adenite",16
"2019/10",1,"Costa Marques","Adenite",1
"2006/11",1,"Alvorada d'Oeste","Adenite",1
"2007/11",1,"Alta Floresta d'Oeste","Adenite",1
"2008/11",1,"Chupinguaia","Adenite",19
"2008/11",1,"Corumbiara","Adenite",8
"2009/11",1,"Rolim de Moura","Adenite",1
"2010/11",1,"Rolim de Moura","Adenite",3
"2010/11",1,"Vale do Paraíso","Adenite",7
"2012/11",1,"Ariquemes","Adenite",1
"2012/11",1,"Chupinguaia","Adenite",31
"2013/11",1,"Alta Floresta d'Oeste","Adenite",2
"2013/11",1,"Alto Alegre dos Parecis","Adenite",2
"2013/11",1,"Rolim de Moura","Adenite",4
"2014/11",1,"Cerejeiras","Adenite",3
"2014/11",1,"Vilhena","Adenite",7
"2015/11",1,"Cerejeiras","Adenite",2
"2016/11",1,"Alto Alegre dos Parecis","Adenite",1
"2016/11",1,"Cerejeiras","Adenite",9
"2016/11",1,"Vilhena","Adenite",4
"2017/11",1,"Alto Paraíso","Adenite",2
"2018/11",1,"Vilhena","Adenite",31
"2019/11",1,"Chupinguaia","Adenite",51
"2019/11",1,"Presidente Médici","Adenite",2
"2007/12",1,"Alta Floresta d'Oeste","Adenite",2
"2007/12",1,"Cabixi","Adenite",1
"2007/12",1,"Costa Marques","Adenite",2
"2008/12",1,"Corumbiara","Adenite",6
"2009/12",1,"Alta Floresta d'Oeste","Adenite",6
"2009/12",1,"Ariquemes","Adenite",2
"2009/12",1,"Jaru","Adenite",1
"2010/12",1,"Alta Floresta d'Oeste","Adenite",10
"2010/12",1,"Corumbiara","Adenite",9
"2010/12",1,"Nova União","Adenite",1
"2011/12",1,"Cabixi","Adenite",9
"2012/12",1,"Alta Floresta d'Oeste","Adenite",5
"2012/12",1,"Cabixi","Adenite",6
"2012/12",1,"Rio Crespo","Adenite",7
"2012/12",1,"Vilhena","Adenite",13
"2013/12",1,"Cerejeiras","Adenite",1
"2013/12",1,"Espigão d'Oeste","Adenite",1
"2015/12",1,"Alto Paraíso","Adenite",1
"2015/12",1,"Ariquemes","Adenite",2
"2015/12",1,"Cabixi","Adenite",16
"2015/12",1,"Parecis","Adenite",1
"2015/12",1,"São Felipe d'Oeste","Adenite",1
"2015/12",1,"Vilhena","Adenite",6
"2016/12",1,"Buritis","Adenite",3
"2016/12",1,"Candeias do Jamari","Adenite",1
"2016/12",1,"Cujubim","Adenite",2
"2016/12",1,"Governador Jorge Teixeira","Adenite",8
"2005/01",1,"Mirante da Serra","Adenite",1
"2007/01",1,"Rio Crespo","Adenite",1
"2008/01",1,"Governador Jorge Teixeira","Adenite",2
"2009/01",1,"Primavera de Rondônia","Adenite",1
"2010/01",1,"Alto Alegre dos Parecis","Adenite",2
"2010/01",1,"Pimenta Bueno","Adenite",1
"2010/01",1,"Pimenteiras do Oeste","Adenite",14
"2010/01",1,"São Felipe d'Oeste","Adenite",1
"2010/01",1,"Vilhena","Adenite",3
"2011/01",1,"Alto Alegre dos Parecis","Adenite",4
"2011/01",1,"Cerejeiras","Adenite",2
"2011/01",1,"Monte Negro","Adenite",1
"2011/01",1,"Parecis","Adenite",1
"2011/01",1,"Vale do Paraíso","Adenite",4
"2012/01",1,"Cacoal","Adenite",5
"2012/01",1,"Espigão d'Oeste","Adenite",3
"2012/01",1,"Jaru","Adenite",3
"2012/01",1,"Primavera de Rondônia","Adenite",1
"2012/01",1,"São Francisco do Guaporé","Adenite",6
"2014/01",1,"Cabixi","Adenite",2
"2014/01",1,"Pimenta Bueno","Adenite",6
"2016/01",1,"Ariquemes","Adenite",3
"2016/01",1,"Ministro Andreazza","Adenite",3
"2017/01",1,"Chupinguaia","Adenite",11
"2018/01",1,"Colorado do Oeste","Adenite",19
"2018/01",1,"São Francisco do Guaporé","Adenite",3
"2005/02",1,"Corumbiara","Adenite",1
"2008/02",1,"Colorado do Oeste","Adenite",4
"2009/02",1,"Colorado do Oeste","Adenite",1
"2011/02",1,"Ariquemes","Adenite",7
"2011/02",1,"Cabixi","Adenite",6
"2012/02",1,"Alta Floresta d'Oeste","Adenite",3
"2012/02",1,"Cacoal","Adenite",4
"2013/02",1,"Cabixi","Adenite",4
"2014/02",1,"Pimenta Bueno","Adenite",1
"2014/02",1,"Vilhena","Adenite",9
"2015/02",1,"Alta Floresta d'Oeste","Adenite",1
"2015/02",1,"Buritis","Adenite",4
"2015/02",1,"Cerejeiras","Adenite",1
"2016/02",1,"Alta Floresta d'Oeste","Adenite",3
"2016/02",1,"Cerejeiras","Adenite",2
"2016/02",1,"Espigão d'Oeste","Adenite",7
"2017/02",1,"Alto Paraíso","Adenite",1
